question,choice_1,choice_2,choice_3,choice_4,year,field,internal,answer,grammer,vocab,old_system,reading_text
You look hot and tired. I think you ... basketball all morning.,are playing,had played,have been playing,would play,81.0,0.0,1.0,3.0,1.0,,,
A: What did the doctor say?B: He told me ... in bed any longer.,didn't stay,don't stay,not to be staying,not to stay,81.0,0.0,1.0,4.0,1.0,,,
This math problem ... by one of my students last year.,had been solved,had solved,has been solved,would be solved,81.0,0.0,1.0,1.0,1.0,,,
I found father in his armchair ... at some old family photographs.,having looked,looks,looking,looked,81.0,0.0,1.0,3.0,1.0,,,
"When I was in Africa, I was completely ... of events happening in my own country.",ignore,ignorant,ignorance,ignorantly,81.0,0.0,1.0,2.0,,1.0,,
The biggest group of TV ... are children and housewives.,composers,employers,supervisors,viewers,81.0,0.0,1.0,4.0,,1.0,,
It is not ... to let children play at the seashore by themselves.,safe,social,perfect,basic,81.0,0.0,1.0,1.0,,1.0,,
"A: Will you ... us for lunch today?B: I'm sorry, I've to go home.",afford,charge,join,suggest,81.0,0.0,1.0,3.0,,1.0,,
The way we speak greatly ... the way people judge our personality.,interferes,influences,expresses,designs,81.0,0.0,1.0,2.0,,1.0,,
"When we asked for a bigger room in the hotel, they told us that it was not ... at thattime.",agreeable,definable,chargeable,available,81.0,0.0,1.0,4.0,,1.0,,
Different methods are being used to ... the number of traffic accidents on the roads.,assist,decrease,refuse,rescue,81.0,0.0,1.0,2.0,,1.0,,
There is a/an ... need for new equipment in our company.,effective,total,rapid,urgent,81.0,0.0,1.0,4.0,,1.0,,
Did your parents finally agree with your ... to quit school?,expression,extension,decision,distinction,81.0,0.0,1.0,3.0,,1.0,,
"I'm sure we have answered this letter, but would you mind ... ?",locating,reviewing,checking,warning,81.0,0.0,1.0,3.0,,1.0,,
Watching the photos we had taken in Australia brought me back a lot of nice ...,hobbies,periods,memories,collections,81.0,0.0,1.0,3.0,,1.0,,
"At last I had to ... looking for my key, because it was getting dark and I couldn't seeanything.",take off,give up,deal with,call out,81.0,0.0,1.0,2.0,,,,
"If your back is still ... , take an aspirin. It will be good for you.",painful,unusual,secure,average,81.0,0.0,1.0,1.0,,,,
I am always surprisingly ... before an examination and never feel any kind of stress.,confusing,shocked,disappointed,relaxed,81.0,0.0,1.0,4.0,,,,
